dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1743-11-01,-0.1059999999999998,1.905,Toronto,Canada,44.20N,80.50W
1744-04-01,5.892,2.249,Toronto,Canada,44.20N,80.50W
1744-05-01,12.05,1.83,Toronto,Canada,44.20N,80.50W
1744-06-01,17.857,1.72,Toronto,Canada,44.20N,80.50W
1744-07-01,19.13000000000001,1.5530000000000002,Toronto,Canada,44.20N,80.50W
1744-09-01,12.411,1.7,Toronto,Canada,44.20N,80.50W
1744-10-01,5.905000000000001,1.853,Toronto,Canada,44.20N,80.50W
1744-11-01,0.016,1.727,Toronto,Canada,44.20N,80.50W
1744-12-01,-6.232,2.032,Toronto,Canada,44.20N,80.50W
1745-01-01,-7.625,2.182,Toronto,Canada,44.20N,80.50W
1745-02-01,-8.16,2.063,Toronto,Canada,44.20N,80.50W
1745-03-01,-4.106,1.974,Toronto,Canada,44.20N,80.50W
1745-04-01,4.041,1.6769999999999998,Toronto,Canada,44.20N,80.50W
1750-01-01,-8.613,2.057,Toronto,Canada,44.20N,80.50W
1750-02-01,-7.92,2.257,Toronto,Canada,44.20N,80.50W
1750-03-01,-2.468,2.527,Toronto,Canada,44.20N,80.50W
1750-04-01,4.628,1.68,Toronto,Canada,44.20N,80.50W
1750-05-01,12.169,1.731,Toronto,Canada,44.20N,80.50W
1750-06-01,16.238,1.504,Toronto,Canada,44.20N,80.50W
1750-07-01,21.145,1.403,Toronto,Canada,44.20N,80.50W
1750-08-01,19.267,1.376,Toronto,Canada,44.20N,80.50W
1750-09-01,14.343,1.508,Toronto,Canada,44.20N,80.50W
1750-10-01,5.758000000000001,1.682,Toronto,Canada,44.20N,80.50W
1750-12-01,-5.307,2.074,Toronto,Canada,44.20N,80.50W
1751-01-01,-8.283,2.169,Toronto,Canada,44.20N,80.50W
1751-02-01,-8.124,2.213,Toronto,Canada,44.20N,80.50W
1751-03-01,-1.993,2.077,Toronto,Canada,44.20N,80.50W
1751-04-01,3.91,1.6869999999999998,Toronto,Canada,44.20N,80.50W
1751-06-01,17.721,1.517,Toronto,Canada,44.20N,80.50W
1751-07-01,19.76,1.3430000000000002,Toronto,Canada,44.20N,80.50W
1751-08-01,18.743,1.34,Toronto,Canada,44.20N,80.50W
1751-09-01,12.975,1.45,Toronto,Canada,44.20N,80.50W
1752-01-01,-11.823,2.344,Toronto,Canada,44.20N,80.50W
1752-03-01,-1.89,2.089,Toronto,Canada,44.20N,80.50W
1752-04-01,3.439,1.891,Toronto,Canada,44.20N,80.50W
1752-10-01,6.367000000000001,1.822,Toronto,Canada,44.20N,80.50W
1752-11-01,2.325,1.616,Toronto,Canada,44.20N,80.50W
1752-12-01,-4.99,1.904,Toronto,Canada,44.20N,80.50W
1753-01-01,-8.116,3.838,Toronto,Canada,44.20N,80.50W
1753-02-01,-7.55,4.208,Toronto,Canada,44.20N,80.50W
1753-03-01,-1.241,3.373,Toronto,Canada,44.20N,80.50W
1753-04-01,4.022,5.144,Toronto,Canada,44.20N,80.50W
1753-05-01,12.325,1.93,Toronto,Canada,44.20N,80.50W
1753-06-01,18.043,2.891,Toronto,Canada,44.20N,80.50W
1753-07-01,19.648,2.277,Toronto,Canada,44.20N,80.50W
1753-08-01,18.45,4.296,Toronto,Canada,44.20N,80.50W
1753-09-01,13.074000000000002,2.38,Toronto,Canada,44.20N,80.50W
1753-10-01,7.504,1.78,Toronto,Canada,44.20N,80.50W
1753-11-01,0.0460000000000002,1.843,Toronto,Canada,44.20N,80.50W
1753-12-01,-7.102,4.405,Toronto,Canada,44.20N,80.50W
1754-01-01,-7.5459999999999985,3.498,Toronto,Canada,44.20N,80.50W
1754-02-01,-8.902999999999999,4.283,Toronto,Canada,44.20N,80.50W
1754-03-01,-2.822,3.607,Toronto,Canada,44.20N,80.50W
1754-06-01,17.442999999999998,2.431,Toronto,Canada,44.20N,80.50W
1754-07-01,19.56,2.17,Toronto,Canada,44.20N,80.50W
1754-08-01,18.437,2.65,Toronto,Canada,44.20N,80.50W
1754-09-01,13.428,2.218,Toronto,Canada,44.20N,80.50W
1754-10-01,8.443999999999999,2.446,Toronto,Canada,44.20N,80.50W
1754-12-01,-4.5440000000000005,1.983,Toronto,Canada,44.20N,80.50W
